adult	ID	description	additional_image_link	condition	mpn	custom_label_2	title	availability	price	link	image_link	brand	item_group_id	custom_label_0	google_product_category	product_type
No	4743	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 3х6 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/omega-3m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006-1.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	4743	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х6 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"5600 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h6x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-050.png	"Alistan Shop"	4743		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6285	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 2х4 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-05.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-02.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-06.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-04.jpg	new	6285	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х4 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"3600 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-s-plenkoj-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6285		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6345	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 2х3 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-05.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-02.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-06.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-04.jpg	new	6345	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х3 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"3100 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6345		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6347	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 3х4 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/omega-3m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006-1.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	6347	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х4 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"4100 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3x4x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-050.png	"Alistan Shop"	6347		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6350	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 3х8 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/omega-3m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006-1.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	6350	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х8 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"6150 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h8x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6350		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6352	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 3х10 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/omega-3m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006-1.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	6352	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х10 из оцинкованного омега профиля с пленкой 120 мкм"	"in stock"	"7400 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h10x2-iz-oczinkovannogo-omega-profilya-pod-plenku-120-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6352		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6916	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 2х3 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-05.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-02.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-06.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-04.jpg	new	6916	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х3 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"3250 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h3h2-iz-oczinkovannogo-omega-profilya-pod-plenku-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6916		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6917	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 2х4 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-003.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-05.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-02.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-06.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/omega-2m-plenka-04.jpg	new	6917	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 2х4 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"3750 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-2h4h2-iz-oczinkovannogo-omega-profilya-s-plenkoj-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-2x4-stal-ocynk-021.png	"Alistan Shop"	6917		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6918	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 3х4 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/omega-3m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006-1.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	6918	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х4 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"4250 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h4x2-iz-oczinkovannogo-omega-profilya-pod-plenku-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6918		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
No	6919	"Каркас теплицы «Омега» изготовлен из открытого омега профиля с толщиной стенки 0,75 мм. Теплица выдерживает механические нагрузки около 30 кг/м кв. Оба торца теплицы имеют дверь, состоящую из двух половин, открывающихся независимо друг от друга.
Обратите внимание. &#171;Омега&#187; — это теплица эконом класса. В ассортименте нашей фабрики есть теплицы с более высокой прочностью. Например, теплица &#171;Веган&#187; 3х6 м.
Инструкции сборки
"	https://fabrika-teplic.com/wp-content/uploads/omega-3m-plenka-01.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-002.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-012.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-011.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-008.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-013.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-005.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-006-1.jpg%2Chttps://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-010.jpg	new	6919	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"	"Теплица «Омега» 3х6 из оцинкованного омега профиля с пленкой 150 мкм"	"in stock"	"5800 UAH"	https://fabrika-teplic.com/vitrina/teplicza-omega-3h6x2-iz-oczinkovannogo-omega-profilya-pod-plenku-150-mkm/	https://fabrika-teplic.com/wp-content/uploads/tunel-folia-3x6-stal-ocynk-020.png	"Alistan Shop"	6919		"Home & Garden > Lawn & Garden > Gardening > Greenhouses"	"Теплицы > Теплицы «Омега» с пленкой > Теплицы с пленкой"
